function,file,line,ncalls,primitive_calls,total_time,cumulative_time,input_size
update_wrapper,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,36,1,1,4.498e-06,6.708000000000001e-06,1000
lru_cache,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,504,1,1,2.7090000000000002e-06,3.209e-06,1000
decorating_function,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,544,1,1,1.7920000000000002e-06,8.5e-06,1000
<method 'append' of 'list' objects>,~,0,940,940,8.3595e-05,8.3595e-05,1000
<method 'update' of 'dict' objects>,~,0,1,1,2.09e-07,2.09e-07,1000
<built-in method builtins.callable>,~,0,1,1,8.3e-08,8.3e-08,1000
<built-in method builtins.getattr>,~,0,8,8,1.126e-06,1.126e-06,1000
<built-in method builtins.isinstance>,~,0,1,1,4.1700000000000004e-07,4.1700000000000004e-07,1000
<built-in method builtins.len>,~,0,1,1,1.67e-07,1.67e-07,1000
<built-in method builtins.min>,~,0,1,1,2.5000000000000004e-07,2.5000000000000004e-07,1000
<built-in method builtins.setattr>,~,0,6,6,8.750000000000001e-07,8.750000000000001e-07,1000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,1.0375000000000001e-05,1.0375000000000001e-05,1000
prefix_sum,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,104,940,1000,0.000158367,0.000158367,1000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,91,940,940,8.796900000000001e-05,8.796900000000001e-05,1000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,100,1,1,0.000499943,0.0008420000000000001,1000
update_wrapper,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,36,1,1,5.332e-06,9.375000000000001e-06,10000
lru_cache,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,504,1,1,4.082e-06,5.166e-06,10000
decorating_function,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,544,1,1,2.8330000000000002e-06,1.2208e-05,10000
<method 'append' of 'list' objects>,~,0,9940,9940,0.0013367230000000002,0.0013367230000000002,10000
<method 'update' of 'dict' objects>,~,0,1,1,5.000000000000001e-07,5.000000000000001e-07,10000
<built-in method builtins.callable>,~,0,1,1,2.5000000000000004e-07,2.5000000000000004e-07,10000
<built-in method builtins.getattr>,~,0,8,8,1.9600000000000003e-06,1.9600000000000003e-06,10000
<built-in method builtins.isinstance>,~,0,1,1,8.340000000000001e-07,8.340000000000001e-07,10000
<built-in method builtins.len>,~,0,1,1,2.5000000000000004e-07,2.5000000000000004e-07,10000
<built-in method builtins.min>,~,0,1,1,5.000000000000001e-07,5.000000000000001e-07,10000
<built-in method builtins.setattr>,~,0,6,6,1.5830000000000001e-06,1.5830000000000001e-06,10000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,1.4125000000000001e-05,1.4125000000000001e-05,10000
prefix_sum,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,104,9940,10000,0.0015905460000000002,0.0015905460000000002,10000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,91,9940,9940,0.001036477,0.001036477,10000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,100,1,1,0.006604838,0.010586708,10000
update_wrapper,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,36,1,1,7.3750000000000005e-06,1.2541e-05,100000
lru_cache,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,504,1,1,3.333e-06,4.959e-06,100000
decorating_function,/opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/functools.py,544,1,1,4.0420000000000004e-06,1.6583e-05,100000
<method 'append' of 'list' objects>,~,0,99940,99940,0.008377165,0.008377165,100000
<method 'update' of 'dict' objects>,~,0,1,1,6.25e-07,6.25e-07,100000
<built-in method builtins.callable>,~,0,1,1,2.09e-07,2.09e-07,100000
<built-in method builtins.getattr>,~,0,8,8,2.707e-06,2.707e-06,100000
<built-in method builtins.isinstance>,~,0,1,1,1.4170000000000002e-06,1.4170000000000002e-06,100000
<built-in method builtins.len>,~,0,1,1,2.5000000000000004e-07,2.5000000000000004e-07,100000
<built-in method builtins.min>,~,0,1,1,4.59e-07,4.59e-07,100000
<built-in method builtins.setattr>,~,0,6,6,1.8340000000000001e-06,1.8340000000000001e-06,100000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,2.3959000000000002e-05,2.3959000000000002e-05,100000
prefix_sum,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,104,99940,100000,0.014831636,0.014831636,100000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,91,99940,99940,0.00988434,0.00988434,100000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,100,1,1,0.058877900000000004,0.091993292,100000
