function,file,line,ncalls,primitive_calls,total_time,cumulative_time,input_size
<method 'append' of 'list' objects>,~,0,1000,1000,8.378900000000001e-05,8.378900000000001e-05,1000
<built-in method builtins.len>,~,0,2001,2001,0.000123149,0.000123149,1000
<built-in method builtins.min>,~,0,1,1,1.67e-07,1.67e-07,1000
<method 'append' of 'collections.deque' objects>,~,0,1000,1000,7.9289e-05,7.9289e-05,1000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,7.75e-06,7.75e-06,1000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,148,1,1,0.000249466,0.0010190000000000002,1000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,131,1000,1000,0.00048314,0.000685453,1000
<method 'append' of 'list' objects>,~,0,10000,10000,0.000832652,0.000832652,10000
<built-in method builtins.len>,~,0,20001,20001,0.001194042,0.001194042,10000
<built-in method builtins.min>,~,0,1,1,3.75e-07,3.75e-07,10000
<method 'append' of 'collections.deque' objects>,~,0,10000,10000,0.0008013400000000001,0.0008013400000000001,10000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,2.0041e-05,2.0041e-05,10000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,148,1,1,0.0028829050000000003,0.010516625,10000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,131,10000,10000,0.0048053110000000005,0.006800443000000001,10000
<method 'append' of 'list' objects>,~,0,100000,100000,0.008189978,0.008189978,100000
<built-in method builtins.len>,~,0,200001,200001,0.011901053,0.011901053,100000
<built-in method builtins.min>,~,0,1,1,6.67e-07,6.67e-07,100000
<method 'append' of 'collections.deque' objects>,~,0,100000,100000,0.007887545000000001,0.007887545000000001,100000
<method 'disable' of '_lsprof.Profiler' objects>,~,0,1,1,1.5167e-05,1.5167e-05,100000
run,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,148,1,1,0.026532689,0.101512458,100000
generate_signals,/Users/jaewonchoi/workspace/uchicago/FINM325/Group8/group8/A3/src/strategies.py,131,100000,100000,0.047000526,0.066788832,100000
