timestamp,datetime,component,price_ticks_per_sec,news_ticks_per_sec,total_ticks
1762653210.55987,2025-11-08 19:53:30,GATEWAY,155.4,156.6,1560
1762653745.980621,2025-11-08 20:02:25,GATEWAY,155.0,155.4,1552
1762655578.324685,2025-11-08 20:32:58,GATEWAY,154.6,155.0,1548
1762655634.577987,2025-11-08 20:33:54,GATEWAY,152.2,153.0,1526
1762655679.419225,2025-11-08 20:34:39,GATEWAY,154.2,154.2,1542
1762655684.426055,2025-11-08 20:34:44,GATEWAY,156.8,157.2,3112
1762655689.431424,2025-11-08 20:34:49,GATEWAY,160.8,159.6,4714
1762655694.438535,2025-11-08 20:34:54,GATEWAY,160.4,160.8,6320
1762655699.440463,2025-11-08 20:34:59,GATEWAY,161.2,161.8,7935
1762655704.447793,2025-11-08 20:35:04,GATEWAY,161.6,161.8,9552
1762655709.44904,2025-11-08 20:35:09,GATEWAY,160.4,160.0,11154
1762655714.45391,2025-11-08 20:35:14,GATEWAY,160.4,160.0,12756
1762655930.472714,2025-11-08 20:38:50,GATEWAY,153.0,153.6,1533
1762655935.477982,2025-11-08 20:38:55,GATEWAY,160.4,160.2,3136
1762656083.995682,2025-11-08 20:41:23,GATEWAY,152.6,153.4,1530
