symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-11-18 00:00:00+00:00,267.68,267.68,267.68,267.68,235.0,5.0,267.68
AAPL,2025-11-18 00:01:00+00:00,267.87,267.87,267.87,267.87,538.0,18.0,267.87
AAPL,2025-11-18 00:02:00+00:00,267.85,267.9,267.85,267.89,1103.0,22.0,267.884821
AAPL,2025-11-18 00:03:00+00:00,267.738,267.738,267.738,267.738,216.0,6.0,267.738
AAPL,2025-11-18 00:05:00+00:00,267.88,267.9,267.88,267.9,511.0,18.0,267.892
AAPL,2025-11-18 00:09:00+00:00,267.89,267.89,267.89,267.89,272.0,6.0,267.89
AAPL,2025-11-18 00:12:00+00:00,267.83,267.83,267.83,267.83,1355.0,10.0,267.83
AAPL,2025-11-18 00:14:00+00:00,267.8,267.8,267.77,267.77,704.0,20.0,267.784266
AAPL,2025-11-18 00:16:00+00:00,267.77,267.77,267.55,267.55,2750.0,56.0,267.696411
AAPL,2025-11-18 00:18:00+00:00,267.36,267.36,267.36,267.36,782.0,42.0,267.36
AAPL,2025-11-18 00:20:00+00:00,267.41,267.41,267.41,267.41,568.0,7.0,267.41
AAPL,2025-11-18 00:25:00+00:00,267.5,267.5,267.5,267.5,211.0,3.0,267.5
AAPL,2025-11-18 00:26:00+00:00,267.46,267.46,267.46,267.46,472.0,8.0,267.46
AAPL,2025-11-18 00:27:00+00:00,267.42,267.46,267.35,267.46,684.0,20.0,267.42465
AAPL,2025-11-18 00:28:00+00:00,267.45,267.45,267.45,267.45,654.0,9.0,267.45
AAPL,2025-11-18 00:30:00+00:00,267.36,267.36,267.36,267.36,404.0,13.0,267.36
AAPL,2025-11-18 00:31:00+00:00,267.4,267.45,267.4,267.45,468.0,5.0,267.436164
AAPL,2025-11-18 00:32:00+00:00,267.35,267.35,267.35,267.35,991.0,18.0,267.35
AAPL,2025-11-18 00:33:00+00:00,267.35,267.35,267.35,267.35,5755.0,22.0,267.35
AAPL,2025-11-18 00:34:00+00:00,267.25,267.25,267.25,267.25,285.0,21.0,267.25
AAPL,2025-11-18 00:35:00+00:00,267.25,267.25,267.13,267.13,1593.0,28.0,267.212304
AAPL,2025-11-18 00:36:00+00:00,267.27,267.27,267.27,267.27,387.0,16.0,267.27
AAPL,2025-11-18 00:37:00+00:00,267.27,267.65,267.2,267.22,10950.0,40.0,267.225266
AAPL,2025-11-18 00:38:00+00:00,267.2451,267.3,267.2451,267.3,1758.0,5.0,267.284314
AAPL,2025-11-18 00:45:00+00:00,267.06,267.3,267.06,267.3,1715.0,33.0,267.111959
AAPL,2025-11-18 00:46:00+00:00,267.3,267.59,267.3,267.59,1074.0,22.0,267.407714
AAPL,2025-11-18 00:47:00+00:00,267.59,267.59,267.1,267.1,990.0,22.0,267.451333
AAPL,2025-11-18 00:49:00+00:00,267.22,267.22,267.17,267.17,1283.0,33.0,267.202993
AAPL,2025-11-18 00:50:00+00:00,267.5,267.65,267.5,267.65,1451.0,46.0,267.570093
AAPL,2025-11-18 00:51:00+00:00,267.44,267.5,267.41,267.5,2351.0,20.0,267.443901
AAPL,2025-11-18 00:52:00+00:00,267.5,267.61,267.5,267.61,720.0,11.0,267.572052
AAPL,2025-11-18 00:53:00+00:00,267.55,267.55,267.51,267.51,578.0,9.0,267.525021
AAPL,2025-11-18 00:54:00+00:00,267.55,267.55,267.31,267.55,568.0,11.0,267.455013
AAPL,2025-11-18 00:57:00+00:00,267.3,267.58,267.3,267.58,295.0,11.0,267.45037
AAPL,2025-11-18 00:58:00+00:00,267.3001,267.4319,267.3001,267.4319,931.0,11.0,267.328931
AAPL,2025-11-18 00:59:00+00:00,267.69,267.69,267.55,267.69,1517.0,17.0,267.588077
AAPL,2025-11-18 09:00:00+00:00,266.7,268.0,266.7,267.51,4816.0,100.0,267.499314
AAPL,2025-11-18 09:02:00+00:00,267.53,267.53,267.51,267.51,549.0,15.0,267.52
AAPL,2025-11-18 09:03:00+00:00,267.62,267.62,267.62,267.62,508.0,23.0,267.62
AAPL,2025-11-18 09:04:00+00:00,267.8,267.9,267.8,267.86,2749.0,49.0,267.815548
AAPL,2025-11-18 09:05:00+00:00,267.9,267.9,267.54,267.54,1445.0,41.0,267.802006
AAPL,2025-11-18 09:06:00+00:00,267.93,267.93,267.8,267.8,731.0,14.0,267.865
AAPL,2025-11-18 09:07:00+00:00,267.8,267.8,267.8,267.8,446.0,9.0,267.8
